Título,Consola,Año,Género,Distribuidora,Ventas NA(M),Ventas EU(M),Ventas JP(M),Ventas otras regiones,Ventas globales,Nivel de ventas globales
Mame Goma: Shiro to Kuro no Meikyuu,3DS,2012,Action,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Bajo
"Crouching Tiger, Hidden Dragon",GBA,2003,Action,Ubisoft,0.02,0.01,0.0,0.0,0.03,Bajo
Clash of Elementalists,3DS,2013,Action,Unknown,0.0,0.03,0.0,0.0,0.03,Bajo
Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,DS,2006,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,Bajo
Harukanaru Toki no Naka de Yumenoukihashi Special,PS2,2009,Adventure,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Rise of Nations: Rise of Legends,PC,2006,Strategy,Microsoft Game Studios,0.0,0.03,0.0,0.01,0.03,Bajo
Tsuyo Kiss: Mighty Heart,PS2,2006,Adventure,Princess Soft,0.0,0.0,0.03,0.0,0.03,Bajo
Zoo Tycoon,PC,2001,Strategy,Microsoft Game Studios,0.0,0.03,0.0,0.01,0.03,Bajo
Gacharoku,PS2,2002,Misc,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
SX Superstar,GC,2003,Racing,Acclaim Entertainment,0.03,0.01,0.0,0.0,0.03,Bajo
Cake Mania: Baker's Challenge,PSP,2008,Puzzle,Destineer,0.03,0.0,0.0,0.0,0.03,Bajo
MotoGP,PSP,2006,Racing,Sony Computer Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Zoo Vet: Endangered Animals,DS,2008,Simulation,505 Games,0.03,0.0,0.0,0.0,0.03,Bajo
Deer Drive: Legends,3DS,2012,Action,Maximum Family Games,0.03,0.0,0.0,0.0,0.03,Bajo
Driven,GBA,2001,Racing,BAM! Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Red Faction II,GC,2003,Shooter,THQ,0.03,0.01,0.0,0.0,0.03,Bajo
Criminal Girls 2,PSV,2015,Role-Playing,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Bajo
SD Gundam G Generation: Gather Beat 2,WS,2001,Strategy,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,DS,2011,Role-Playing,Hudson Soft,0.0,0.0,0.03,0.0,0.03,Bajo
Who Wants to be a Millionaire: 1st Edition,Wii,2007,Misc,Ubisoft,0.0,0.03,0.0,0.0,0.03,Bajo
Diabolik Lovers: Dark Fate,PSV,2015,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
Battle Engine Aquila,PS2,2003,Shooter,Atari,0.02,0.01,0.0,0.0,0.03,Bajo
Astonishia Story,PSP,2006,Role-Playing,Ubisoft,0.03,0.0,0.0,0.0,0.03,Bajo
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS3,2016,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Special Forces: Nemesis Strike,XB,2005,Shooter,Hip Interactive,0.03,0.01,0.0,0.0,0.03,Bajo
Women's Volleyball Championship,PS2,2007,Sports,Spike,0.0,0.0,0.03,0.0,0.03,Bajo
Junior Island Adventure,DS,2011,Puzzle,Unknown,0.03,0.0,0.0,0.0,0.03,Bajo
Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,2007,Sports,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
MX vs. ATV Supercross,PS3,2014,Racing,Nordic Games,0.02,0.01,0.0,0.01,0.03,Bajo
Rakushou! Pachi-Slot Sengen 5: Rio Paradise,PS2,2007,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Sacra Terra: Angelic Night,PC,2011,Puzzle,Avanquest,0.01,0.02,0.0,0.01,0.03,Bajo
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action,Activision,0.02,0.01,0.0,0.0,0.03,Bajo
Battle Assault 3 featuring Gundam Seed,PS2,2004,Action,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,Bajo
Crimson Tears,PS2,2004,Role-Playing,Capcom,0.02,0.01,0.0,0.0,0.03,Bajo
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen,DS,2008,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Batman Forever: The Arcade Game,PS,1996,Action,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Romance of the Three Kingdoms (3DS),3DS,2013,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Electroplankton,DS,2005,Misc,Nintendo,0.01,0.0,0.02,0.0,0.03,Bajo
Cabela's Outdoor Adventures,GC,2005,Sports,Activision,0.03,0.01,0.0,0.0,0.03,Bajo
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,PS3,2011,Strategy,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Bajo
Backyard NFL Football 2006,GBA,2005,Sports,Atari,0.02,0.01,0.0,0.0,0.03,Bajo
Game of Thrones (Telltale),X360,2015,Adventure,Telltale Games,0.02,0.01,0.0,0.0,0.03,Bajo
Mashiro Iro Symphony: *mutsu-no-hana,PSP,2011,Adventure,Comfort,0.0,0.0,0.03,0.0,0.03,Bajo
Monster Guardians,GBA,2001,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Sunday vs Magazine Shuuketsu! Choujou Daikessen,PSP,2009,Fighting,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
An American Tail: Fievel's Gold Rush,GBA,2002,Platform,Conspiracy Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Dead or Alive Xtreme 3: Venus,PSV,2016,Sports,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Diabolik Lovers: More Blood,PSP,2013,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
Magna Carta Portable,PSP,2006,Role-Playing,Banpresto,0.0,0.0,0.03,0.0,0.03,Bajo
Red Faction: Guerrilla,PC,2009,Shooter,THQ,0.0,0.03,0.0,0.01,0.03,Bajo
The Italian Job,GC,2003,Racing,Eidos Interactive,0.03,0.01,0.0,0.0,0.03,Bajo
Crazy Chicken: Star Karts,DS,2008,Racing,Phenomedia,0.03,0.0,0.0,0.0,0.03,Bajo
Detective Conan: Phantom Rhapsody,3DS,2014,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Super Dodgeball Brawlers (jp sales),DS,2008,Sports,Arc System Works,0.0,0.0,0.03,0.0,0.03,Bajo
Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita,PSP,2007,Role-Playing,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Bajo
M&Ms Shell Shocked,PS,2001,Action,Berkeley,0.02,0.01,0.0,0.0,0.03,Bajo
RACE On,PC,2009,Racing,bitComposer Games,0.0,0.03,0.0,0.01,0.03,Bajo
K-On! After School Live!! HD Ver.,PS3,2012,Action,Sega,0.0,0.0,0.03,0.0,0.03,Bajo
Metal Gear Solid: The Essential Collection (JP sales),PS2,2007,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Overlord II,PC,2009,Action,Codemasters,0.0,0.03,0.0,0.01,0.03,Bajo
Young Justice: Legacy,Wii,2013,Action,Namco Bandai Games,0.0,0.03,0.0,0.0,0.03,Bajo
3D Baseball,PS,1996,Sports,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,PS2,2007,Misc,Hackberry,0.0,0.0,0.03,0.0,0.03,Bajo
First Queen: Ornic Senki,SNES,1994,Role-Playing,Culture Brain,0.0,0.0,0.03,0.0,0.03,Bajo
Call of Juarez: Bound in Blood,PC,2009,Shooter,Ubisoft,0.0,0.03,0.0,0.01,0.03,Bajo
Dream C Club Zero,X360,2011,Simulation,D3Publisher,0.0,0.0,0.03,0.0,0.03,Bajo
Shining Stars,DS,2008,Action,"Destination Software, Inc",0.03,0.0,0.0,0.0,0.03,Bajo
Tail Concerto,PS,1998,Adventure,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,Bajo
The Sum of All Fears,GC,2003,Shooter,Ubisoft,0.03,0.01,0.0,0.0,0.03,Bajo
James Pond: Codename Robocod,GBA,2005,Platform,Play It,0.02,0.01,0.0,0.0,0.03,Bajo
Yumi's Odd Odyssey,3DS,2013,Platform,Agatsuma Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Night Head: The Labyrinth,PS,1995,Adventure,Fuji,0.0,0.0,0.03,0.0,0.03,Bajo
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Angler's Club: Ultimate Bass Fishing 3D,3DS,2011,Sports,D3Publisher,0.0,0.03,0.0,0.0,0.03,Bajo
Utawarerumono Portable,PSP,2009,Role-Playing,Aqua Plus,0.0,0.0,0.03,0.0,0.03,Bajo
Gaia Saver Hero Saidai no Sakusen,SNES,1994,Role-Playing,Banpresto,0.0,0.0,0.03,0.0,0.03,Bajo
EverBlue 2,PS2,2002,Adventure,Capcom,0.02,0.01,0.0,0.0,0.03,Bajo
Emma at the Farm,DS,2008,Adventure,Aspyr,0.03,0.0,0.0,0.0,0.03,Bajo
NASCAR Heat Evolution,PS4,2016,Racing,Dusenberry Martin Racing,0.03,0.0,0.0,0.01,0.03,Bajo
Higurashi no Naku Koro ni Kizuna: Dai-San-Kan - Rasen,DS,2009,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03,Bajo
The Sims 2: Glamour Life Stuff,PC,2006,Simulation,Electronic Arts,0.0,0.03,0.0,0.01,0.03,Bajo
Safari Adventures: Africa,Wii,2007,Adventure,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Summer Athletics: The Ultimate Challenge,X360,2008,Sports,DTP Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Prince of Persia: The Forgotten Sands,PC,2010,Action,Ubisoft,0.0,0.03,0.0,0.0,0.03,Bajo
Yumeiro Patissiere: My Sweets Cooking,DS,2010,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,PSP,2006,Misc,Daito,0.0,0.0,0.03,0.0,0.03,Bajo
Clannad,PS3,2011,Adventure,Prototype,0.0,0.0,0.03,0.0,0.03,Bajo
Maximum Racing: GP Classic Racing,Wii,2010,Racing,Nordic Games,0.03,0.0,0.0,0.0,0.03,Bajo
Trials Fusion,PC,2014,Racing,Ubisoft,0.0,0.03,0.0,0.0,0.03,Bajo
Rugby League Live 3,PS3,2015,Action,Tru Blu Entertainment,0.0,0.03,0.0,0.0,0.03,Bajo
PowerSlave,PS,1996,Shooter,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Legend of the Dragon,PSP,2007,Fighting,Game Factory,0.03,0.0,0.0,0.0,0.03,Bajo
Project Gotham Racing 2 (JP weekly sales),XB,2003,Action,Microsoft Game Studios,0.0,0.0,0.03,0.0,0.03,Bajo
Ukiyo no Shishi,PS3,2015,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
The Binding of Isaac,PC,2012,Action,Unknown,0.0,0.03,0.0,0.0,0.03,Bajo
CT Special Forces,GBA,2002,Action,LSP Games,0.02,0.01,0.0,0.0,0.03,Bajo
FIFA World Cup: Germany 2006,GBA,2006,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03,Bajo
Jewel Master: Cradle of Rome,Wii,2008,Puzzle,Rondomedia,0.03,0.0,0.0,0.0,0.03,Bajo
Midnight Mysteries: The Edgar Allan Poe Conspiracy,PC,2009,Adventure,GSP,0.0,0.03,0.0,0.01,0.03,Bajo
Beastly,Wii,2011,Misc,Unknown,0.03,0.0,0.0,0.0,0.03,Bajo
Crash Time: Autobahn Pusuit,X360,2008,Racing,RTL,0.03,0.0,0.0,0.0,0.03,Bajo
Earthworm Jim 2,GBA,2002,Platform,Vivendi Games,0.02,0.01,0.0,0.0,0.03,Bajo
Garfield: A Tale of Two Kitties,DS,2006,Platform,Game Factory,0.03,0.0,0.0,0.0,0.03,Bajo
Tamagotchi no Doki Doki Dream Omisecchi,3DS,2013,Simulation,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Toushin Toshi,3DS,2014,Role-Playing,imageepoch Inc.,0.0,0.0,0.03,0.0,0.03,Bajo
Suujin Taisen,DS,2007,Strategy,Nintendo,0.0,0.0,0.03,0.0,0.03,Bajo
SBK 2011: FIM Superbike World Championship,PC,2011,Racing,Black Bean Games,0.0,0.03,0.0,0.01,0.03,Bajo
Driv3r,GBA,2005,Racing,Atari,0.02,0.01,0.0,0.0,0.03,Bajo
Street Supremacy,PSP,2005,Racing,Konami Digital Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Combat Mission: Shock Force,PC,2007,Strategy,Paradox Interactive,0.0,0.03,0.0,0.01,0.03,Bajo
Rome: Total War - Gold Edition,PC,2006,Strategy,Sega,0.0,0.03,0.0,0.01,0.03,Bajo
House M.D.,DS,2010,Adventure,Mindscape,0.02,0.01,0.0,0.0,0.03,Bajo
Mystery Case Files: Ravenhearst,PC,2007,Puzzle,Focus Home Interactive,0.01,0.02,0.0,0.01,0.03,Bajo
YoKai Watch Dance: Just Dance Special Version,WiiU,2015,Misc,Level 5,0.0,0.0,0.03,0.0,0.03,Bajo
River King: Mystic Valley (jp sales),DS,2007,Sports,Rising Star Games,0.0,0.0,0.03,0.0,0.03,Bajo
Winning Post World,PS2,2009,Sports,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Jig-A-Pix: Wild World,DS,2009,Puzzle,Zushi Games,0.03,0.01,0.0,0.0,0.03,Bajo
Best Friends Tonight,DS,2010,Misc,Ubisoft,0.03,0.0,0.0,0.0,0.03,Bajo
Living Legends: Frozen Beauty,PC,2014,Action,Big Fish Games,0.0,0.03,0.0,0.0,0.03,Bajo
Super Hero Generation,PS3,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Sea Park Tycoon,DS,2010,Simulation,Foreign Media Games,0.02,0.01,0.0,0.0,0.03,Bajo
Disney Sports Soccer,GC,2002,Sports,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.03,Bajo
Cooking Mama 5: Bon Appetit!,3DS,2013,Simulation,Office Create,0.0,0.0,0.03,0.0,0.03,Bajo
Mame Goma: Honobo no Nikki,DS,2007,Simulation,TDK Core,0.0,0.0,0.03,0.0,0.03,Bajo
Guitar Hero: World Tour,PC,2009,Misc,Aspyr,0.0,0.03,0.0,0.01,0.03,Bajo
Nancy Drew: Alibi In Ashes,PC,2011,Adventure,Her Interactive,0.03,0.0,0.0,0.0,0.03,Bajo
The Walking Dead: Season One,PC,2012,Adventure,Avanquest Software,0.0,0.03,0.0,0.01,0.03,Bajo
Ultimate Block Party,PSP,2004,Puzzle,505 Games,0.03,0.0,0.0,0.0,0.03,Bajo
Disney's Hide & Sneak,GC,2003,Action,Capcom,0.03,0.01,0.0,0.0,0.03,Bajo
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013,Strategy,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Nobunaga no Yabou: Kakushin with Power-Up Kit,PS2,2008,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Raw Danger!,PS2,2006,Action,505 Games,0.02,0.01,0.0,0.0,0.03,Bajo
Arthur and the Invisibles,DS,2007,Adventure,Atari,0.03,0.0,0.0,0.0,0.03,Bajo
Flipper Critters,DS,2007,Simulation,Conspiracy Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,2015,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03,Bajo
Monster Rancher Hop-A-Bout,PS,2000,Action,Tecmo Koei,0.02,0.01,0.0,0.0,0.03,Bajo
Foto Showdown,DS,2010,Role-Playing,Unknown,0.03,0.0,0.0,0.0,0.03,Bajo
Custom Beat Battle: Draglade 2,DS,2008,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Gotouchi Kenkei DS,DS,2006,Misc,Spike,0.0,0.0,0.03,0.0,0.03,Bajo
Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Elf Bowling 1 & 2,GBA,2005,Sports,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Men of War,PC,2009,Strategy,505 Games,0.01,0.02,0.0,0.01,0.03,Bajo
Toy Shop,DS,2008,Simulation,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Metroid Prime: Federation Force,3DS,2016,Action,Nintendo,0.02,0.01,0.01,0.0,0.03,Bajo
GunGriffon: Allied Strike,XB,2004,Simulation,Microsoft Game Studios,0.02,0.01,0.0,0.0,0.03,Bajo
Stacked with Daniel Negreanu,PSP,2006,Misc,Myelin Media,0.03,0.0,0.0,0.0,0.03,Bajo
Vitamin X Evolution,DS,2008,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,Bajo
Saru! Get You! SaruSaru Daisakusen,PSP,2007,Platform,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Sonic Boom: Fire & Ice,3DS,2016,Platform,Sega,0.03,0.0,0.0,0.0,0.03,Bajo
The Flintstones: Big Trouble in Bedrock,GBA,2001,Platform,Swing! Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Hallowed Legends: Samhain,PC,2011,Adventure,Focus Home Interactive,0.0,0.02,0.0,0.01,0.03,Bajo
Captain Morgane and the Golden Turtle,DS,2012,Adventure,Reef Entertainment,0.0,0.03,0.0,0.0,0.03,Bajo
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010,Misc,Kamui,0.0,0.0,0.03,0.0,0.03,Bajo
Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,2016,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
BeatMania IIDX 14 Gold,PS2,2008,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
PopCap Arcade Vol 2,X360,2009,Misc,PopCap Games,0.03,0.0,0.0,0.0,0.03,Bajo
Toriko: Ultimate Survival,3DS,2013,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,SAT,1996,Misc,ASK,0.0,0.0,0.03,0.0,0.03,Bajo
Vegas Casino,DS,2007,Misc,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Monster High: New Ghoul in School,Wii,2015,Action,Little Orbit,0.0,0.03,0.0,0.0,0.03,Bajo
Madou Monogatari,SAT,1998,Role-Playing,Compile,0.0,0.0,0.03,0.0,0.03,Bajo
Biker Mice From Mars,DS,2007,Racing,Game Factory,0.03,0.0,0.0,0.0,0.03,Bajo
Smart Girl's Winter Wonderland,DS,2008,Misc,UFO Interactive,0.03,0.0,0.0,0.0,0.03,Bajo
Tork: Prehistoric Punk,XB,2005,Platform,Microsoft Game Studios,0.02,0.01,0.0,0.0,0.03,Bajo
Togainu no Chi: True Blood,PS2,2008,Adventure,Kadokawa Shoten,0.0,0.0,0.03,0.0,0.03,Bajo
Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,3DS,2012,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,Bajo
Chicken Shoot 2,GBA,2005,Adventure,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,Bajo
Neverwinter Nights,PC,2002,Role-Playing,Atari,0.0,0.03,0.0,0.01,0.03,Bajo
East India Company Collection,PC,2010,Misc,Paradox Interactive,0.0,0.03,0.0,0.0,0.03,Bajo
Battle vs. Chess,X360,2011,Misc,TopWare Interactive,0.0,0.03,0.0,0.0,0.03,Bajo
The Inner World,PC,2013,Adventure,Headup Games,0.0,0.03,0.0,0.0,0.03,Bajo
Pachinko Kamen Rider: Shocker Zenmetsu Daisakusen,PS2,2008,Misc,Hackberry,0.0,0.0,0.03,0.0,0.03,Bajo
Underground Pool,DS,2007,Sports,UFO Interactive,0.03,0.0,0.0,0.0,0.03,Bajo
Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Classic Dungeon: Fuyoku no Masoujin,PSP,2010,Role-Playing,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Bajo
Alter Ego,PC,1985,Simulation,Activision,0.0,0.03,0.0,0.01,0.03,Bajo
Dragon's Dogma Online,PS3,2015,Role-Playing,Capcom,0.0,0.0,0.03,0.0,0.03,Bajo
Rampo,SAT,1995,Adventure,Sega,0.0,0.0,0.03,0.0,0.03,Bajo
River City Super Sports Challenge,DS,2010,Sports,Arc System Works,0.01,0.0,0.02,0.0,0.03,Bajo
My Pet Shop (JP sales),DS,2008,Simulation,Square Enix,0.0,0.0,0.03,0.0,0.03,Bajo
Exstetra,PSV,2013,Role-Playing,FuRyu,0.0,0.0,0.03,0.0,0.03,Bajo
Konami Classics Series: Arcade Hits,DS,2007,Misc,Konami Digital Entertainment,0.01,0.0,0.02,0.0,0.03,Bajo
Dodge Racing: Charger vs Challenger,DS,2009,Racing,Zushi Games,0.03,0.0,0.0,0.0,0.03,Bajo
Gokujou!! Mecha Mote Iinchou: MM My Best Friend!,DS,2010,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Atelier Sophie: The Alchemist of the Mysterious Book,PS3,2015,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
SingStar Chartbreaker,PS3,2009,Misc,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03,Bajo
Hiiro no Kakera 2: Hisui no Shizuku,PS2,2007,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
Pro Yakyuu Spirits 5 Kanzenban,PS3,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Sorcery Saga: The Curse of the Great Curry God,PSV,2013,Role-Playing,Rising Star Games,0.0,0.0,0.03,0.0,0.03,Bajo
SingStar Fussballhits,PS3,2010,Misc,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03,Bajo
A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03,Bajo
Dance Factory,PS2,2006,Action,Codemasters,0.02,0.01,0.0,0.0,0.03,Bajo
LEGO Legends of Chima: Laval's Journey,DS,2013,Adventure,Unknown,0.0,0.03,0.0,0.0,0.03,Bajo
Montessori Music,DS,2008,Misc,Oxygen Interactive,0.01,0.02,0.0,0.0,0.03,Bajo
Totally Spies!,GBA,2005,Platform,Atari,0.02,0.01,0.0,0.0,0.03,Bajo
DragonHeart: Fire & Steel,PS,1996,Action,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Nishijin Pachinko Monogatari 2,SNES,1996,Misc,KSS,0.0,0.0,0.03,0.0,0.03,Bajo
Chaos;Head - Love Chu*Chu!,X360,2010,Adventure,5pb,0.0,0.0,0.03,0.0,0.03,Bajo
Gal Gun: Double Peace,PSV,2015,Action,PQube,0.0,0.02,0.01,0.0,0.03,Bajo
PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
RoadKill,GC,2003,Action,Midway Games,0.02,0.01,0.0,0.0,0.03,Bajo
The Legend of Heroes III: Song of the Ocean,PSP,2006,Role-Playing,Namco Bandai Games,0.03,0.0,0.0,0.0,0.03,Bajo
Dungeon Maker: Hunting Ground,PSP,2006,Role-Playing,Global A Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Mushihimesama Futari Ver 1.5,X360,2009,Shooter,Cave,0.0,0.0,0.03,0.0,0.03,Bajo
F1 2002,GC,2002,Racing,Electronic Arts,0.02,0.01,0.0,0.0,0.03,Bajo
Pocket Fighter,SAT,1998,Fighting,Capcom,0.0,0.0,0.03,0.0,0.03,Bajo
Lock On: Modern Air Combat,PC,2003,Simulation,Ubisoft,0.0,0.03,0.0,0.01,0.03,Bajo
Toaru Majutsu no Kagaku no Ensemble,PSP,2013,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Ojyousama Express,SAT,1998,Strategy,Media Works,0.0,0.0,0.03,0.0,0.03,Bajo
Guilty Gear XX Accent Core Plus,Wii,2009,Fighting,PQube,0.01,0.02,0.0,0.0,0.03,Bajo
Starsky & Hutch,GBA,2003,Racing,Empire Interactive,0.02,0.01,0.0,0.0,0.03,Bajo
Super Meat Boy: Ultra Edition!,PC,2011,Platform,Unknown,0.0,0.02,0.0,0.01,0.03,Bajo
Sitting Ducks,GBA,2003,Platform,LSP Games,0.02,0.01,0.0,0.0,0.03,Bajo
Brothers Conflict: Brilliant Blue,PSP,2013,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
JoJo's Bizarre Adventure: Eyes of Heaven,PS3,2015,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Hajime no Ippo: The Fighting! (2014),PS3,2014,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Eyeshield 21: Field Saikyou no Senshi Tachi,Wii,2007,Role-Playing,Nintendo,0.0,0.0,0.03,0.0,0.03,Bajo
To LoveRu Trouble: Waku Waku! Rinkangakkou-Hen,DS,2008,Adventure,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,Bajo
Medabots 9: Metabee / Rokusho,3DS,2015,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03,Bajo
Doodle Hex,DS,2008,Puzzle,Pinnacle,0.0,0.03,0.0,0.0,0.03,Bajo
Homeworld 2,PC,2003,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.03,Bajo
Hakuoki Zuisouroku Omokage Hana,PSV,2015,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
Hearts of Iron IV,PC,2016,Strategy,Paradox Interactive,0.0,0.03,0.0,0.0,0.03,Bajo
thinkSMART FAMILY!,Wii,2010,Misc,Conspiracy Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Last Escort: Club Katze,PSP,2010,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,Bajo
Stacked with Daniel Negreanu,XB,2006,Misc,Myelin Media,0.02,0.01,0.0,0.0,0.03,Bajo
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen,PSP,2010,Adventure,Yeti,0.0,0.0,0.03,0.0,0.03,Bajo
Rayman 3: Hoodlum Havoc,PC,2003,Platform,Ubisoft,0.0,0.03,0.0,0.01,0.03,Bajo
Otometeki Koi Kakumei * Love Revo,PS2,2006,Adventure,Interchannel,0.0,0.0,0.03,0.0,0.03,Bajo
Timmy Time,DS,2011,Action,Avanquest,0.0,0.03,0.0,0.0,0.03,Bajo
Infinite Stratos 2: Ignition Hearts,PSV,2014,Adventure,5pb,0.0,0.0,0.03,0.0,0.03,Bajo
Dr. Muto,GC,2002,Platform,Midway Games,0.02,0.01,0.0,0.0,0.03,Bajo
